clip,grade,template,alpha,ratio measured,ratio template,ratio delivered,template-measurement gap,delivered to measurement,delivered to template,share of the gap closed
(1),C,Basset Hound,0.35,0.370,0.380,0.376,0.0138,0.0090,0.0048,35%
10380867-hd_720_1280_30fps,B,Great Dane,0.35,0.662,0.663,0.663,0.0089,0.0058,0.0031,35%
10872987-hd_1280_720_60fps,C,Pekingese,0.60,0.455,0.375,0.423,0.0424,0.0170,0.0254,60%
10944870-hd_1920_1080_30fps,B,German Shepherd,0.35,0.420,0.489,0.465,0.0302,0.0196,0.0106,35%
12059488_1280_720_60fps_cut,A,Siberian Husky,0.35,0.435,0.467,0.456,0.0145,0.0094,0.0051,35%
12200647_720_1280_30fps_cut,A,Labrador,0.35,0.515,0.546,0.535,0.0153,0.0099,0.0054,35%
12438625_1280_720_50fps,A,Whippet,0.35,0.557,0.596,0.582,0.0190,0.0124,0.0066,35%
12716578_1280_720_30fps_cut,A,Whippet,0.35,0.562,0.596,0.584,0.0255,0.0166,0.0089,35%
12753444_1280_720_24fps,B,Labrador,0.35,0.504,0.546,0.531,0.0204,0.0133,0.0071,35%
15930157_720_1280_30fps_cut,C,Cardigan Corgi,0.35,0.367,0.373,0.371,0.0168,0.0109,0.0059,35%
16170693_720_1280_24fps_cut,A,Labrador,0.35,0.517,0.546,0.536,0.0121,0.0079,0.0042,35%
16573252-hd_1920_1080_30fps_cut,A,Labrador,0.35,0.532,0.546,0.541,0.0075,0.0049,0.0026,35%
16645293_fix,A,Great Dane,0.35,0.626,0.663,0.650,0.0153,0.0099,0.0054,35%
17967007-hd_1280_720_30fps_cut,A,Labrador,0.35,0.510,0.546,0.533,0.0159,0.0103,0.0056,35%
18032366-hd_720_1280_30fps,C,Cardigan Corgi,0.35,0.356,0.373,0.367,0.0208,0.0135,0.0073,35%
19828393-hd_1280_720_24fps,C,Beagle,0.60,0.523,0.437,0.489,0.0346,0.0138,0.0208,60%
19887654-hd_1280_720_24fps_cut,B,Great Dane,0.35,0.623,0.663,0.649,0.0165,0.0107,0.0058,35%
3644110-hd_1280_720_30fps,C,Beagle,0.35,0.393,0.437,0.422,0.0277,0.0180,0.0097,35%
4166357-hd_1280_720_60fps_cut,B,Siberian Husky,0.35,0.443,0.467,0.458,0.0128,0.0083,0.0045,35%
4405577-hd_1280_720_24fps,B,German Shepherd,0.35,0.498,0.489,0.492,0.0211,0.0137,0.0074,35%
5540218-hd_720_1280_30fps,A,German Shepherd,0.35,0.477,0.489,0.485,0.0177,0.0115,0.0062,35%
7682707-hd_1280_720_25fps,C,Pekingese,0.60,0.410,0.375,0.396,0.0383,0.0153,0.0230,60%
7684001-hd_1280_720_25fps_cut,B,Pekingese,0.35,0.381,0.375,0.377,0.0146,0.0095,0.0051,35%
7684003-uhd_3840_2160_25fps_cut,C,Pekingese,0.35,0.374,0.375,0.374,0.0145,0.0094,0.0051,35%
8056259-hd_1280_720_25fps,C,Beagle,0.60,0.536,0.437,0.497,0.0583,0.0233,0.0350,60%
9632185-hd_1366_720_24fps_cut,A,Siberian Husky,0.35,0.438,0.467,0.457,0.0145,0.0094,0.0051,35%
MicrosoftTeams-video (1) (8)_cut,C,Beagle,0.35,0.463,0.437,0.446,0.0158,0.0103,0.0055,35%
MicrosoftTeams-video (11)_cut,A,Whippet,0.35,0.607,0.596,0.600,0.0178,0.0116,0.0062,35%
MicrosoftTeams-video (2),B,Pug,0.35,0.385,0.399,0.394,0.0166,0.0108,0.0058,35%
MicrosoftTeams-video (2) (7),C,Beagle,0.35,0.433,0.437,0.436,0.0165,0.0107,0.0058,35%
MicrosoftTeams-video (3),C,Samoyed,0.35,0.457,0.483,0.474,0.0110,0.0071,0.0038,35%
MicrosoftTeams-video (5)_cut,A,Whippet,0.35,0.579,0.596,0.590,0.0170,0.0110,0.0060,35%
MicrosoftTeams-video (6)_cut,A,Labrador,0.35,0.507,0.546,0.533,0.0166,0.0108,0.0058,35%
MicrosoftTeams-video (7),A,Border Collie,0.35,0.480,0.538,0.518,0.0253,0.0164,0.0089,35%
bg,A,Beagle,0.35,0.453,0.437,0.442,0.0171,0.0111,0.0060,35%
big,C,Beagle,0.60,0.465,0.437,0.454,0.0161,0.0064,0.0097,60%
blackbig,A,Labrador,0.35,0.535,0.546,0.542,0.0057,0.0037,0.0020,35%
chai,A,Samoyed,0.35,0.464,0.483,0.476,0.0079,0.0051,0.0028,35%
dan,A,Whippet,0.35,0.581,0.596,0.590,0.0179,0.0116,0.0063,35%
keji_cut,B,Siberian Husky,0.35,0.450,0.467,0.461,0.0126,0.0082,0.0044,35%
lachang,A,Basset Hound,0.35,0.374,0.380,0.378,0.0136,0.0088,0.0048,35%
smy,A,Samoyed,0.35,0.458,0.483,0.474,0.0107,0.0070,0.0037,35%
