template,parts fine,parts coarse,verts fine,verts coarse,area fine,area coarse,area change,IoU fine vs coarse,disagreeing pixels (% of fine)
Basset Hound,18,13,97,52,16721,13478,-19.4%,0.7579,24.9%
Beagle,18,13,97,52,14040,12245,-12.8%,0.7673,24.7%
Border Collie,18,13,97,52,12224,10643,-12.9%,0.7648,24.9%
Cardigan Corgi,18,13,97,52,16709,13623,-18.5%,0.7539,25.5%
German Shepherd,18,13,97,52,11344,10558,-6.9%,0.7586,26.5%
Great Dane,18,13,97,52,9229,9162,-0.7%,0.7439,29.3%
Labrador,18,13,97,52,12034,10974,-8.8%,0.7737,24.4%
Pekingese,18,13,97,52,18954,15028,-20.7%,0.7579,24.7%
Pug,18,13,97,52,16884,13235,-21.6%,0.7462,25.9%
Samoyed,18,13,97,52,13828,11403,-17.5%,0.7514,25.9%
Siberian Husky,18,13,97,52,12529,10879,-13.2%,0.7607,25.4%
Whippet,18,13,97,52,9526,9453,-0.8%,0.7084,34.0%
