clip,grade,IoU median,IoU min,IoU max,frames scored,segmentation failures
12059488_1280_720_60fps_cut,A,0.6226,0.5858,0.6519,8,0
12200647_720_1280_30fps_cut,A,0.3475,0.2242,0.4099,7,1
12438625_1280_720_50fps,A,0.2830,0.2636,0.3059,8,0
12716578_1280_720_30fps_cut,A,0.4148,0.3381,0.4960,8,0
16170693_720_1280_24fps_cut,A,0.2821,0.1229,0.3743,6,2
16573252-hd_1920_1080_30fps_cut,A,0.3748,0.2709,0.4521,8,0
16645293_fix,A,0.3345,0.2852,0.4290,6,2
17967007-hd_1280_720_30fps_cut,A,0.4373,0.3271,0.6089,8,0
5540218-hd_720_1280_30fps,A,0.3817,0.2627,0.5945,8,0
9632185-hd_1366_720_24fps_cut,A,0.5826,0.3614,0.6748,8,0
MicrosoftTeams-video (11)_cut,A,0.3017,0.2058,0.4193,8,0
MicrosoftTeams-video (5)_cut,A,0.4010,0.2831,0.4617,8,0
MicrosoftTeams-video (6)_cut,A,0.4970,0.3899,0.6363,8,0
MicrosoftTeams-video (7),A,0.4546,0.4167,0.5291,8,0
bg,A,0.5048,0.4581,0.5511,8,0
blackbig,A,0.4044,0.2810,0.4689,8,0
chai,A,0.4788,0.3774,0.6359,8,0
dan,A,0.4457,0.3421,0.4755,8,0
lachang,A,0.5563,0.5214,0.6154,8,0
smy,A,-,-,-,8,8
