clip,grade,status,frames,fps,dup_rate,sharpness,brightness,outliers,quality_verdict,template,geometry_pick,classifier_pick,sources_agree,margin,alpha,root_lift_px,spine_tail,coat_hex,coat_lightness,failure_mode,note
(1),C,ok,291.0,60.0,0.214,55.0,124.7,46.0,IRREGULAR FREEZES (VFR video?) -- retiming still applies but check the result,Basset Hound,Basset Hound,Basset Hound,True,0.191,0.35,0.0,synthesised,#745A52,0.3892899584076055,duplicate frames,duplicate frame rate 21%
10380867-hd_720_1280_30fps,B,ok,95.0,29.97002997002997,0.0,1124.6,114.8,8.0,CLEAN frame timing,Great Dane,Great Dane,Great Dane,True,0.593,0.35,0.0,synthesised,#3C3D57,0.28922961854899026,,breed identification wrong
10872987-hd_1280_720_60fps,C,ok,694.0,60.0,0.009,433.0,131.6,210.0,CLEAN frame timing,Pekingese,German Shepherd,Pekingese,False,0.051,0.6,0.0,synthesised,#010117,0.04772167487684728,weak breed decision,breed decision not corroborated (alpha 0.60)
10944870-hd_1920_1080_30fps,B,ok,317.0,29.97002997002997,0.0,15.4,140.3,150.0,CLEAN frame timing | LOW SHARPNESS: expect noisy keypoints,German Shepherd,Whippet,German Shepherd,False,0.537,0.35,19.2,synthesised,#946E5A,0.46847544563506166,,root lift 19px; outliers 47%
12059488_1280_720_60fps_cut,A,ok,412.0,59.94005994005994,0.0,771.4,135.2,42.0,CLEAN frame timing,Siberian Husky,Cardigan Corgi,Siberian Husky,False,0.039,0.35,5.5,synthesised,#ECEDEC,0.9290458937198067,,Siberian Husky
12200647_720_1280_30fps_cut,A,ok,239.0,30.0,0.004,1263.3,135.5,27.0,CLEAN frame timing,Labrador,Beagle,Labrador,False,0.135,0.35,4.3,synthesised,#514540,0.2855707762557077,,Labrador
12438625_1280_720_50fps,A,ok,244.0,50.0,0.0,232.9,87.8,8.0,CLEAN frame timing,Whippet,Beagle,Whippet,False,0.052,0.35,6.7,synthesised,#E3FFFF,0.9466666666666667,,graded by eye
12716578_1280_720_30fps_cut,A,ok,137.0,30.0,0.0,846.9,98.7,7.0,CLEAN frame timing,Whippet,Whippet,Labrador,False,0.018,0.35,7.0,synthesised,#D6CEBD,0.7914896653247612,,Whippet
12753444_1280_720_24fps,B,ok,655.0,23.976023976023978,0.003,66.8,159.4,171.0,CLEAN frame timing,Labrador,Pekingese,Labrador,False,0.049,0.35,5.3,synthesised,#4E5C74,0.3833168642951251,,Labrador
15930157_720_1280_30fps_cut,C,ok,232.0,29.97002997002997,0.0,1311.8,169.9,12.0,CLEAN frame timing,Cardigan Corgi,Cardigan Corgi,Cardigan Corgi,True,0.339,0.35,0.0,synthesised,#B1945E,0.5339150570428104,high camera,"high camera: corgi at an angle, rig cannot represent it"
16170693_720_1280_24fps_cut,A,ok,202.0,23.976023976023978,0.0,171.1,100.8,33.0,CLEAN frame timing,Labrador,Siberian Husky,Labrador,False,0.11,0.35,0.0,synthesised,#836C74,0.470940064342409,,Labrador
16573252-hd_1920_1080_30fps_cut,A,ok,134.0,29.97002997002997,0.0,44.2,122.1,71.0,CLEAN frame timing | LOW SHARPNESS: expect noisy keypoints,Labrador,German Shepherd,Labrador,False,0.333,0.35,0.0,synthesised,#222125,0.1402197802197802,,graded by eye
16645293_fix,A,ok,128.0,60.0,0.0,4956.7,140.0,9.0,CLEAN frame timing,Great Dane,Labrador,Great Dane,False,0.326,0.35,8.0,synthesised,#FFB25C,0.681620125641615,,Great Dane; recut at correct 60fps timing
17967007-hd_1280_720_30fps_cut,A,ok,162.0,30.0,0.0,280.3,141.9,11.0,CLEAN frame timing,Labrador,Cardigan Corgi,Labrador,False,0.065,0.35,8.0,synthesised,#F3EDE4,0.9246575342465753,,Labrador
